,0
1166,30304514
1167,11068872
1168,25582476
1169,12917150
1170,1907799
1171,25526709
1172,23840713
1173,9409363
1174,16981164
1175,21914562
1176,11241048
1177,26008863
1178,12597053
1179,10540877
1180,18206410
1181,21470495
1182,19588132
1183,30787166
1184,6423397
1185,10679936
1186,18647626
1187,8983728
1188,15138885
1189,30830487
1190,16256390
1191,3116495
1192,17342409
1193,9141261
1194,10449128
1195,6811963
1196,1293379
1197,8884569
1198,17043409
1199,29445841
1200,16843025
1201,26865159
1202,6262377
1203,18164639
1204,7545958
1205,10375397
1206,16904023
1207,19639391
1208,28202214
1209,7887409
1210,11673873
1211,1528021
1212,2846049
1213,19517265
1214,22766002
1215,8352855
1216,8504306
1217,15550478
1218,9501264
1219,15712224
1220,824610
1221,14635113
1222,18273899
1223,3160100
1224,9671272
1225,22884585
1226,16713755
1227,7573035
1228,22896851
1229,16725381
1230,12762482
1231,17923481
1232,11044909
1233,2839811
1234,22079328
1235,15569252
1236,26287337
1237,12070266
1238,32472546
1239,24914713
1240,9467010
1241,1297818
1242,9530092
1243,10767328
1244,6434848
1245,16765624
1246,3140238
1247,18398624
1248,2122529
1249,30098254
1250,12633610
1251,8032855
1252,17384007
1253,8193600
1254,8664900
1255,6280937
1256,10448086
1257,8771169
1258,28323243
1259,27343776
1260,2378353
1261,23446635
1262,11431686
1263,18630533
1264,19687137
1265,18603265
1266,12835509
1267,25420100
1268,23673011
1269,25143630
1270,29228135
1271,25820230
1272,14680979
1273,10590409
1274,11431681
1275,24061067
1276,18546343
1277,8607814
1278,16401742
1279,10926541
1280,8381519
1281,19664747
1282,19428252
1283,20149659
1284,16715201
1285,8559166
1286,29310369
1287,16760117
1288,18396044
1289,1300188
1290,20479361
1291,15258213
1292,21649612
1293,20810132
1294,19477272
1295,20884012
1296,19285865
1297,18575922
1298,24930659
1299,19705478
1300,26050231
1301,15795893
1302,16940310
1303,16619054
1304,31263856
1305,20513108
1306,17614276
1307,22155748
1308,17614277
1309,16203679
1310,15564038
1311,19853444
1312,19513767
1313,22987704
1314,31912126
1315,28690391
1316,8358124
1317,14745080
1318,9248343
1319,23865558
1320,28430993
1321,21301859
1322,19353676
1323,12094562
1324,22166510
1325,12013885
1326,8411714
1327,8609926
1328,11756613
1329,19578034
1330,17331810
1331,27072953
1332,24727571
1333,22743145
1334,29892051
1335,21951382
1336,12565911
1337,16682683
1338,10904941
1339,11897778
1340,15351195
1341,30936349
1342,20082143
1343,23719791
1344,15181170
1345,24086434
1346,17420318
1347,7496174
1348,20164463
1349,21937588
1350,31843010
1351,21689831
1352,15016764
1353,16685652
1354,12872260
1355,18384291
1356,18279890
1357,12707443
1358,19566497
1359,15668446
1360,15477547
1361,29290614
1362,16368709
1363,16303948
1364,15349879
1365,26094573
1366,23387428
1367,22778364
1368,15258572
1369,12210391
1370,24014582
1371,14557557
1372,20813205
1373,24943079
1374,10869362
1375,11404121
1376,8286317
1377,15647764
1378,21277779
1379,12163192
1380,25518262
1381,24076137
1382,11297739
1383,7558770
1384,26689116
1385,26838077
1386,21819490
1387,29228108
1388,17620490
1389,22728862
1390,25139213
1391,28695364
1392,18989381
1393,15126171
1394,15702133
1395,8606699
1396,18971204
1397,12351217
1398,8923013
1399,9932958
1400,25281868
1401,17725985
1402,30340744
1403,21646632
1404,8622724
1405,22377773
1406,18502641
1407,20880070
1408,15792871
1409,21996270
1410,21632210
1411,32669520
1412,14607300
1413,16964602
1414,12727447
1415,1392429
1416,28392360
1417,24640729
1418,2932538
1419,26209807
1420,15699507
1421,22484407
1422,12821527
1423,18286391
1424,29879144
1425,24901013
1426,23202962
1427,11714103
1428,15351379
1429,17607181
1430,19997594
1431,9649222
1432,21868486
1433,31185137
1434,21613332
1435,32383812
1436,21456524
1437,29150289
1438,28375164
1439,11391709
1440,25092805
1441,9390973
1442,7504688
1443,14698861
1444,12814171
1445,27919481
1446,5583255
1447,10716447
1448,12067310
1449,23473799
1450,31661467
1451,24598064
1452,26390149
1453,11793393
1454,28683072
1455,7524468
1456,1558090
1457,2419505
1458,22974055
1459,22848563
1460,27338176
1461,24366868
1462,28756504
1463,1372398
1464,25988565
1465,1251680
1466,23069673
1467,16886667
1468,9655126
1469,25616360
1470,21886806
1471,32718720
1472,20370893
1473,17263004
1474,10773850
1475,32835901
1476,7561965
1477,3913869
1478,8150353
1479,22480437
1480,30649665
1481,316447
1482,27179571
1483,32531754
1484,9120012
1485,29761737
1486,24930034
1487,9181352
1488,18429023
1489,20648053
1490,25542806
1491,24121085
1492,7150961
1493,12020966
1494,22316121
1495,29414925
1496,8984675
1497,28617321
1498,11357956
1499,17373929
1500,9619641
1501,21054197
1502,18930811
1503,25704137
1504,21042807
1505,32711296
1506,1710567
1507,32027536
1508,28300678
1509,32790973
1510,21387814
1511,27381476
1512,11108949
1513,24698515
1514,32544863
1515,25734590
1516,30289974
1517,25894046
1518,23633384
1519,9112685
1520,24793898
1521,31725411
1522,23975865
1523,27705922
1524,25960358
1525,28427690
1526,17057564
1527,23767916
1528,55489
1529,20512584
1530,23034952
1531,15003779
1532,11164911
1533,32329046
1534,15616965
1535,26589195
1536,21111488
1537,15756051
1538,1760210
1539,7488132
1540,10686594
1541,26377633
1542,21816760
1543,21791428
1544,18342137
1545,15372502
1546,25537576
1547,22350443
1548,11603629
1549,29535371
1550,7936297
1551,27572854
1552,9628469
1553,19949160
1554,2438631
1555,8598395
1556,16329058
1557,8256552
1558,20633421
1559,16150497
1560,7537278
1561,19104151
1562,26150166
1563,25918935
1564,25738911
1565,25019581
1566,27903933
1567,29992409
1568,886365
1569,23269203
1570,13707855
1571,32762494
1572,28086065
1573,29762081
1574,23541930
1575,12020973
1576,1891986
1577,20461397
1578,3632376
1579,25303286
1580,7689593
1581,22196421
1582,16254700
1583,25034768
1584,29861258
1585,28107525
1586,24308945
1587,26363365
1588,22379256
1589,31779094
1590,29523925
1591,30870736
1592,2411841
1593,31439008
1594,11783402
1595,2880934
1596,23212404
1597,21136279
1598,7526776
1599,17578859
1600,10359806
1601,14736424
1602,19589606
1603,31022066
1604,31932428
1605,28960496
1606,30035132
1607,1362438
1608,29529529
1609,30412738
1610,32089782
1611,21068410
1612,28887146
1613,16406307
1614,30661382
1615,3546605
1616,28844067
1617,30091657
1618,26782821
1619,22047987
1620,27620726
1621,20637509
1622,26418222
1623,26564667
1624,18378324
1625,17681985
1626,29449193
1627,8965119
1628,52630
1629,25062073
1630,28206826
1631,10217690
1632,22717772
1633,8072429
1634,30206820
1635,18726192
1636,26690779
1637,30211230
1638,27135831
1639,9780223
1640,21628452
1641,21052934
1642,12048314
1643,22995526
1644,28050933
1645,18803300
1646,8019047
1647,2283525
1648,25660362
1649,20868627
1650,11378907
1651,20816462
1652,21530210
1653,26506927
1654,29132538
1655,18219823
1656,6194179
1657,23638842
1658,27183579
1659,28152396
1660,32916509
1661,28793295
1662,17548449
1663,14759627
1664,21372112
1665,12445919
1666,22840414
1667,26421829
1668,21177324
1669,26771518
1670,17086898
1671,20163740
1672,31376237
1673,17573238
1674,15706547
1675,9736029
1676,27061227
1677,21866867
1678,23850076
1679,11585623
1680,12576232
1681,10680783
1682,20736230
1683,23061813
1684,29110148
1685,23897428
1686,23840333
1687,25716880
1688,25238639
1689,32218697
1690,17715340
1691,24690227
1692,29875313
1693,8243517
1694,14279927
1695,29360844
1696,22705226
1697,15549353
1698,23089549
1699,15627595
1700,17160953
1701,12474984
1702,23907437
1703,32303837
1704,23160276
1705,133588
1706,23749293
1707,6312248
1708,7509366
1709,415750
1710,28926157
1711,16678208
1712,17482929
1713,21272945
1714,25376135
1715,21876301
1716,24989845
1717,10680782
1718,12044990
1719,27557625
1720,9151902
1721,29618273
1722,21709156
1723,11506399
1724,2931357
1725,15787824
1726,15755681
1727,33208611
1728,27737733
1729,12225903
1730,8382894
1731,23886824
1732,26665429
1733,31476445
1734,31345363
1735,31731041
1736,21658727
1737,31034363
1738,19558503
1739,23518709
1740,28401686
1741,18684472
1742,22897503
1743,16571384
1744,23101271
1745,28134233
1746,19825276
1747,4013726
1748,16174651
1749,11334482
1750,9155210
1751,14734607
1752,15792819
1753,7477066
1754,16303141
1755,16564429
1756,19687024
1757,24711650
1758,27829351
1759,26658811
1760,17034344
1761,15615176
1762,11794474
1763,1971360
1764,12965264
1765,25903661
1766,31487715
1767,15748959
1768,27624686
1769,12929289
1770,26672995
1771,27627913
1772,27733550
1773,9438209
1774,28499934
1775,28941240
1776,28939293
1777,19695880
1778,24718267
1779,19758177
1780,16184340
1781,22047130
1782,14759636
1783,10541588
1784,24997489
1785,31522431
1786,9366420
1787,21965421
1788,19513637
1789,21113195
1790,11772317
1791,29656272
1792,7509847
1793,24269090
1794,10378546
1795,22000399
1796,27686563
1797,11046067
1798,3374225
1799,24486244
1800,15124763
1801,12507784
1802,14575909
1803,18501892
1804,29314605
1805,11696431
1806,31243520
1807,29143164
1808,22385507
1809,20944657
1810,23867064
1811,29523171
1812,26540116
1813,15693804
1814,1898255
1815,16754576
1816,28218775
1817,21975773
1818,21649880
1819,26679998
1820,8610978
1821,1690751
1822,7688686
1823,15051939
1824,32938787
1825,11511721
1826,31284389
1827,23613736
1828,24215402
1829,30616596
1830,23599395
1831,22112394
1832,21545713
1833,26154149
1834,31385358
1835,27406878
1836,24412911
1837,30261457
1838,22524708
1839,10612095
1840,7507500
1841,27237766
1842,16698091
1843,15163393
1844,30837313
1845,26809249
1846,23897640
1847,24256874
1848,17046070
1849,32457139
1850,15756942
1851,31048186
1852,15929512
1853,26565077
1854,25305254
1855,16670771
1856,28729168
1857,28917625
1858,25819634
1859,21723567
1860,22516854
1861,22676575
1862,12578854
1863,25787052
1864,26444423
1865,27434641
1866,27049563
1867,9700711
1868,27846233
1869,28474276
1870,23352968
1871,17432215
1872,19882368
1873,20463963
1874,18682780
1875,21544565
1876,5838476
1877,25892669
1878,20136355
1879,23283435
1880,26003229
1881,14816301
1882,2261647
1883,12093891
1884,30063300
1885,16716826
1886,30528148
1887,9266414
1888,14634265
1889,16682671
1890,10900333
1891,23848523
1892,19419774
1893,23710456
1894,32869183
1895,27465615
1896,23761047
1897,2614463
1898,21196739
1899,31641965
1900,7528354
1901,19025654
1902,24465465
1903,31729968
1904,10800258
1905,14513163
1906,7533188
1907,29212866
1908,23256518
1909,20112030
1910,11777555
1911,26579696
1912,32464584
1913,11730945
1914,15645351
1915,17627848
1916,21487981
1917,25218211
1918,21891821
1919,24792898
1920,25681448
1921,26313885
1922,27727015
1923,31139952
1924,2805507
1925,28130499
1926,28751099
1927,6979331
1928,20383810
1929,2567726
1930,11147786
1931,23417555
1932,22486199
1933,26369816
1934,25385295
1935,568753
1936,14625084
1937,24269238
1938,8289087
1939,29053775
1940,20404306
1941,25853421
1942,16878136
1943,26515692
1944,28821687
1945,31704547
1946,27529445
1947,9710049
1948,15369748
1949,27618742
1950,31355310
1951,4083983
1952,21752599
1953,12667661
1954,24638064
1955,19419759
1956,23834174
1957,29523169
1958,24140010
1959,22031530
