,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
89,,,,P14854,,,,,,,O60218,Q14790,P00367,Q8IVS2,O94925,P07108,P47985,,,N/A
90,,,,Q02221,,,,,,,P00395,P11498,P21912,P10809,Q9UI32,Q8NI37,P46199,,,N/A
91,,,,Q6YFQ2,,,,,,,Q9UG56,Q15070,P48728,Q8NFU3,Q16762,P10809,P33897,,,N/A
92,,,,Q86Y39,,,,,,,Q96QU6,O15527,Q969G6,P27695,Q14296,P48728,Q5JRX3,,,N/A
93,,,,Q8TCS8,,,,,,,O75616,Q9Y3B8,Q9NZJ7,Q9BYT8,Q13423,P05091,O60218,,,N/A
94,,,,P00156,,,,,,,Q08426,Q96RQ3,P12235,P51648,Q9NWT8,Q96EY8,P08559,,,N/A
95,,,,Q08257,,,,,,,P61604,Q9UQ90,P12236,Q9NTG7,O14561,P25874,P13051,,,N/A
96,,,,O95299,,,,,,,Q9UHN1,P13804,Q9UI32,P38646,Q9NP81,P25705,P10415,,,N/A
97,,,,Q9Y6N1,,,,,,,O60260,Q9HBH1,P30044,P78540,P52758,Q14296,P10109,,,N/A
98,,,,Q9Y276,,,,,,,Q6PI48,Q70CQ3,Q9NTG7,Q16762,A6NK06,Q9UKU0,Q9NYZ2,,,N/A
99,,,,P55851,,,,,,,P51648,Q8WYQ3,Q9BQT8,P53007,P11498,P47985,Q9UHN1,,,N/A
100,,,,P43897,,,,,,,Q02978,Q9UBX3,P21964,Q53FZ2,Q5ST30,P51659,Q16698,,,N/A
101,,,,P40305,,,,,,,P47985,O94925,Q9HBH1,P17612,Q13505,P00395,P00395,,,N/A
102,,,,P82930,,,,,,,Q9Y276,Q02218,P13804,P40305,O95831,P35270,P10809,,,N/A
103,,,,Q6PI48,,,,,,,P21549,Q96RR1,P31040,Q9UI32,Q5T160,P53007,Q9H2D1,,,N/A
104,,,,Q86WU2,,,,,,,P21964,P22570,P00390,O43464,Q15070,Q9NTX5,Q13472,,,N/A
105,,,,P51970,,,,,,,Q9BUP3,P30405,P55789,P49675,P31327,Q14249,P13073,,,N/A
106,,,,O00142,,,,,,,Q9BT17,O43678,Q9NP92,Q86Y79,P21549,O95563,P43155,,,N/A
107,,,,O43676,,,,,,,O14561,Q8NE62,Q9NVV4,Q9Y3E5,O95363,Q9HBH1,Q6IB77,,,N/A
108,,,,Q9UJA2,,,,,,,Q16548,Q9HC21,Q9UG56,Q9P0J1,Q13794,P00505,Q8IWA4,,,N/A
109,,,,P42574,,,,,,,P00505,P10809,P48735,Q15118,P05091,P00156,Q8N4Q1,,,N/A
110,,,,P24310,,,,,,,Q07820,P06746,P08574,Q8N490,O00408,P21549,O15239,,,N/A
111,,,,P17612,,,,,,,Q13057,P21796,Q96EY8,O43521,Q96QU6,Q9HC21,P50336,,,N/A
112,,,,Q13057,,,,,,,P35232,P10620,Q7L3V2,Q9Y2D0,P51659,P10515,P40926,,,N/A
113,,,,Q96H96,,,,,,,P00480,Q53FZ2,Q96E52,Q92934,Q96E52,P28838,P00505,,,N/A
114,,,,O75879,,,,,,,O60220,Q8N0X4,Q07820,P48728,P51648,Q02318,Q96PG8,,,N/A
115,,,,P55211,,,,,,,P09622,Q8NE86,P21397,Q14249,P55789,P34897,O43678,,,N/A
116,,,,P03923,,,,,,,Q9NP92,Q15046,Q96H96,P22033,P78540,P31040,,,,N/A
117,,,,Q00059,,,,,,,Q9NVV4,Q99797,Q99623,P54886,P23378,Q9H2D1,,,,N/A
118,,,,O14548,,,,,,,P35270,Q16891,Q15070,Q96PN6,Q96RR1,O14561,,,,N/A
119,,,,Q16891,,,,,,,O95831,O60238,Q9P0J1,P14324,P49675,P35232,,,,N/A
120,,,,P32322,,,,,,,P40305,Q99623,O43521,Q96QU6,Q08426,Q9UJ68,,,,N/A
121,,,,Q5THJ4,,,,,,,P17540,Q9NTG7,Q9BZ23,Q07820,P21964,O15528,,,,N/A
122,,,,Q9H6K4,,,,,,,P12532,Q96PG8,P24752,P30044,P05165,P23368,,,,N/A
123,,,,P36776,,,,,,,P07108,P53701,P00846,O43772,Q96LW4,Q8N4E7,,,,N/A
124,,,,Q9H300,,,,,,,Q02127,Q86Y79,Q5T1C6,P33897,P55211,P02794,,,,N/A
