,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005663819412580274,0.007840320266844409,0.0033977362018192308,0.010362477080474582,0.00930035539657397,0.007199140232940512,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00552624298429959,0.007839957353723058,0.0033929774787799807,0.01035712004561857,0.009288649618130309,0.007185291280000438,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005439229254113756,0.007838609703638606,0.003389100989485954,0.010347927698354206,0.009280014881112872,0.0071413241931144,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.007820159403662142,0.003387917259365849,0.0103373747055526,0.00927725505644808,0.0070738007864139954,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.007815879291963977,0.003358822994443031,0.010329379943119424,0.009274995562059636,0.006775845444346412,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.0078093983988687535,0.003348659375484036,0.010304994324722963,0.009151362628606654,0.006554557219778729,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.007803569236462115,0.003319359005816657,0.00971428980028628,0.008784196745899172,0.00644046594709429,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.007737545672549585,0.003313671149827188,0.00971428980028628,0.008730618112889804,0.0057766687458494816,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.007727898239346409,0.0032891922643997983,0.009714094240466532,0.008365315667453691,0.0057766687458494816,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.007358706463573375,0.003252157731624713,0.00970461778983172,0.008363646163500112,0.0057766687458494816,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.006773974571210532,0.003173618549194142,0.009702593514996027,0.008360859782321628,0.005775574868813157,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839290146993949,0.006759846293556015,0.0024113822453405856,0.009688401471113526,0.008350895532503698,0.005772185041121807,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003839168521688947,0.006757325739412038,0.0020014105882907034,0.00968077628607559,0.008350895532503698,0.005772185041121807,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038388072144025258,0.00675694951460876,0.0,0.009670495051261423,0.008350895532503698,0.00577133937146078,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003838650609152308,0.006755687060960802,0.0,0.009662118004142052,0.008350895532503698,0.005771156545430198,0.0,0.0,0.0
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003838114403325249,0.006754394478820393,0.0,0.009639960622033487,0.008350895532503698,0.005770767428203364,0.0,0.0,0.0
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038379345147839376,0.006754394478820393,0.0,0.009616783536224152,0.008350895532503698,0.005767320039100901,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003837822179527833,0.006750348802675397,0.0,0.009606164346632752,0.008350895532503698,0.005759376484417687,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003837643185226908,0.00675006745200939,0.0,0.009398088173498078,0.00834571657026592,0.005748721483631078,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038374584219570853,0.006749657701235389,0.0,0.00893429619395533,0.008341389354805724,0.00574659486167036,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038373606436295843,0.006749375855449844,0.0,0.008927174823064172,0.008334188854628695,0.00574582048461309,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038371006377032244,0.006745250373105469,0.0,0.008914713394717316,0.008322247349307128,0.0057386826945511685,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038365152103057775,0.0067435575084926775,0.0,0.008911214150411833,0.008321700688417814,0.00573811817478836,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003836373376833303,0.006729645229783773,0.0,0.008906723741291705,0.008307476361102873,0.005707260372151621,0.0,0.0,0.0
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003835194193589222,0.006721625313570279,0.0,0.008905398435861878,0.008307000811849713,0.005700079784156881,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003834704179741146,0.0067175290887566755,0.0,0.008899198599563651,0.008277206426018436,0.0056149288518555105,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003834704179741146,0.006716611618747265,0.0,0.008891267525330947,0.008265753276841481,0.005192061908694108,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003833844069439806,0.006716035273228676,0.0,0.008890895403946004,0.0082454475475837,0.005018315728301205,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038318300540005424,0.0067027502946887104,0.0,0.008890895403946004,0.0082192083487223,0.004943794789231568,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003831099050050425,0.006696270359005035,0.0,0.008887595348557313,0.007727183609573581,0.003638447685923104,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003829034965183876,0.005350113625759658,0.0,0.008886678869780867,0.0072993279054815565,0.003638447685923104,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003828152994708732,0.005350113625759658,0.0,0.008878195161589204,0.007197149739222623,0.003638447685923104,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038252466606321415,0.005350113625759658,0.0,0.00885636773305044,0.007197149739222623,0.003638447685923104,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038230281376509852,0.00534990404647068,0.0,0.00884464140196229,0.007197149739222623,0.003638447685923104,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038222121066940435,0.005348821349437152,0.0,0.008797746677166497,0.007193485272640155,0.003638447685923104,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003821786563124522,0.005346296375468618,0.0,0.00872546439683953,0.007193241973841502,0.003638447685923104,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003821579737695907,0.005346266432863302,0.0,0.008006951841217072,0.007192350701711246,0.003638447685923104,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038174639340592094,0.005346266432863302,0.0,0.007999462922358556,0.007186168809186205,0.003638447685923104,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003817196005245192,0.005346266432863302,0.0,0.007998859322844715,0.0071860483312029995,0.003638447685923104,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003815334254785899,0.005346038245840182,0.0,0.007998140533660242,0.007182042857966597,0.003638447685923104,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003813391652737761,0.005345096063751501,0.0,0.007995180334555398,0.007180366841344406,0.003638447685923104,0.0,0.0,0.0
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038120640627403272,0.005345023282877921,0.0,0.007990782819446568,0.0071772847374934595,0.003638447685923104,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003803588475865844,0.005344255410858181,0.0,0.007989909140449359,0.00717301018961456,0.0036383324214293565,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003798253880205789,0.0053433220725696475,0.0,0.00798894412378049,0.007152915247382781,0.0036383295436692256,0.0,0.0,0.0
276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003795546256709458,0.005343065997294492,0.0,0.007973113990099284,0.007111706074453906,0.003638305148801,0.0,0.0,0.0
277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003715019208586808,0.005343024446956877,0.0,0.00796822269574465,0.007100009365223084,0.003638217679795767,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037021468265541523,0.005342847748012054,0.0,0.007943297460261766,0.006796043229968325,0.0036380951972974384,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003594173222550864,0.00534277158118453,0.0,0.007934272460493054,0.006767838638678107,0.0036379789826579594,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003468859422614516,0.0053404686983152035,0.0,0.007911568518802434,0.006722142623320775,0.0036376834956554725,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032172541857214965,0.00534027168199166,0.0,0.00788891266332075,0.006023620362209575,0.00363761615981078,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005339310978030267,0.0,0.007880476974018624,0.005696964145808341,0.0036370777451708147,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005338825311691882,0.0,0.00782283302234786,0.005696399596213126,0.0036368332493737416,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00533526268855006,0.0,0.007799810815578263,0.005692022109112186,0.0036367155503203774,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335086728005179,0.0,0.0077680912472617766,0.005692022109112186,0.0036366334892215047,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00533291733039029,0.0,0.007333674252497398,0.005692022109112186,0.003636565492152477,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005328555816540004,0.0,0.006889030167615177,0.005692022109112186,0.0036361598205919225,0.0,0.0,0.0
