doc_id	label_id
29529130	2
16648378	2
15781809	2
26194196	2
26738566	2
23144624	2
11910556	2
22472598	2
16158427	2
21457585	2
11855928	2
28841713	2
22158479	2
22382025	2
31152339	2
28630277	2
25159689	2
26624494	2
25243597	2
11810270	2
15161824	2
19234344	2
18419770	2
32392317	2
19112530	2
26854526	2
14644237	2
29092894	2
20157015	2
22857269	2
21745197	2
29034899	2
17724190	2
16698014	2
25374051	2
25794858	2
21349918	2
15505078	2
28939434	2
15832306	2
24051421	2
18653586	2
21621262	2
27468686	2
24369534	2
19389487	2
24883014	2
17167772	2
15700187	2
12566046	2
16617242	2
16737747	2
25744979	2
21646330	2
32175678	2
18222992	2
15531309	2
22231385	3
25995486	3
25164807	3
30948790	3
17855363	3
26959537	3
19135921	3
26608563	3
22435634	3
1313674	3
10556302	3
32335026	3
21752325	3
24020637	3
12776230	3
30392038	3
2559245	3
31352295	3
1998173	3
27346203	3
8940814	3
23953430	3
21454027	3
11156535	3
11382202	3
19780766	3
15228605	3
30848071	3
12944388	3
11024191	3
30706245	3
10746561	3
24231806	3
22653057	3
2821802	3
12026244	3
17582259	3
25807530	3
8892026	3
31248988	3
11955936	3
26081110	3
29602698	3
9837813	3
19107570	3
20502985	3
27338358	3
27905109	3
25911677	3
11955926	3
26717663	3
2841425	3
30029642	3
25125611	3
9545512	3
7502989	3
27017994	3
27995398	3
27301544	3
11004498	3
12925875	3
26008862	3
31261379	3
3222173	3
8750605	3
11641822	3
8589677	3
26235939	3
25288793	3
26940873	3
20525945	3
30578322	3
10558868	3
28645153	3
30523580	3
1849240	3
12013921	3
20546952	3
19503089	3
25152966	3
17186472	3
12535666	3
31866046	3
11510937	3
19542079	3
19616603	3
27623250	3
33085679	3
27079373	3
15824269	3
27502960	3
24399447	3
12013907	3
22410471	3
12616398	3
24413359	3
17301081	3
3499326	3
3593065	3
10899453	3
22947169	3
22114105	3
23361976	3
15139850	3
8836502	3
16222681	3
16532470	3
20220140	3
15272617	3
21455844	3
24284555	3
16542579	3
12538779	3
30425197	3
30911575	3
22202226	3
15863660	3
8392290	3
17050673	3
2834526	3
2855956	3
28777931	3
21748946	3
19579665	3
11341780	3
30981218	3
11579424	3
21617257	3
24830958	3
11731285	3
25835550	3
2159985	3
12629249	3
31095747	3
25130867	3
10944442	3
6093613	3
26450614	3
25591832	3
20819849	3
21167962	3
15455402	3
23829769	3
22729865	3
15235026	3
20571988	3
18513682	3
16361598	3
20727754	3
10721666	3
22348497	3
11804207	3
30128709	3
11063732	3
30458972	3
23266820	3
12533809	3
20202874	3
22819295	3
11286378	3
29518281	3
9843204	3
26099313	3
32679198	3
2540452	3
22045337	3
26826406	3
30642748	3
28429146	3
20534480	3
7649544	3
25118196	3
11596345	3
11279059	3
28371352	3
30379275	3
2846961	3
22898272	3
30607703	3
25720770	3
11782424	3
12515039	3
19772191	3
3027266	3
12208141	3
15798371	3
15214016	3
22535952	3
22364517	3
19103152	3
9367300	3
19791729	3
8505474	3
1311909	3
11181577	3
20598281	3
28409271	3
10360771	3
9878253	3
30419932	3
31273716	3
18408853	3
24986921	3
24781757	3
22036843	3
28853723	3
23918762	3
27671926	3
17908801	3
23408181	3
11510939	3
18614015	3
30429455	3
25214534	3
